363:363TC_COMPILE_2_2:+ 1074<->1<->PASS
364:364TC_COMPILE_2_4:+ 1075<->1<->NA
365:365TC_COMPILE_2_5:+ 1076<->1<->NA
366:366TC_COMPILE_2_6:+ 1077<->1<->PASS
367:367TC_COMPILE_2_7:+ 1078<->1<->PASS
368:368TC_COMPILE_2_8:+ 1079<->1<->PASS
369:369TC_COMPILE_2_9:+ 1080<->1<->PASS
370:370TC_COMPILE_2_10:+ 1081<->1<->NA
371:371TC_COMPILE_2_11:+ 1082<->1<->PASS
372:372TC_FWUG_SI_1_1:+ 1083<->1<->PASS
373:373TC_CONFIG_SI_1_1:+ 1084<->1<->PASS
374:374TC_MIB_SI_1_1:+ 1085<->1<->PASS
375:375TC_WLAN_ASSOC_1_1:+ 1086<->1<->FAIL
376:376TC_WLAN_ASSOC_1_2:+ 1087<->1<->PASS
377:377TC_WLAN_ASSOC_1_3:+ 1088<->1<->PASS
378:378TC_WLAN_ASSOC_1_4:+ 1089<->1<->PASS
379:379TC_WLAN_ASSOC_1_5:+ 1090<->1<->PASS
380:380TC_WLAN_ASSOC_1_6:+ 1091<->1<->PASS
381:381TC_WLAN_ASSOC_1_7:+ 1092<->1<->Pass
382:382TC_WLAN_ASSOC_1_8:+ 1093<->1<->PASS
383:383TC_WLAN_ASSOC_1_9:+ 1094<->1<->PASS
384:384TC_WLAN_ASSOC_1_10:+ 1095<->1<->PASS
385:385TC_WLAN_ASSOC_2_1:+ 1096<->1<->NA
386:386TC_WLAN_ASSOC_2_2:+ 1097<->1<->NA
387:387TC_WLAN_ASSOC_2_3:+ 1098<->1<->NA
388:388TC_WLAN_ASSOC_2_4:+ 1099<->1<->NA
389:389TC_WLAN_ASSOC_2_5:+ 1100<->1<->NA
390:390TC_WLAN_ASSOC_2_6:+ 1101<->1<->NA
391:391TC_LOCATION_SCAN_1_1:+ 1102<->1<->PASS
392:392TC_LOCATION_SCAN_1_2:+ 1103<->1<->PASS
393:393TC_LOCATION_SCAN_1_3:+ 1104<->1<->PASS
394:394TC_LOCATION_SCAN_2_1:+ 1105<->1<->PASS
395:395TC_LOCATION_SCAN_2_2:+ 1106<->1<->PASS
396:396TC_LOCATION_SCAN_2_3:+ 1107<->1<->PASS
397:397TC_ARB_FRAME_1_1:+ 1108<->1<->FAIL
398:398TC_SAT_1_1:+ 1109<->1<->PASS
399:399TC_SAT_1_2:+ 1110<->1<->PASS
400:400TC_SAT_1_3:+ 1111<->1<->PASS
401:401TC_SAT_1_4:+ 1112<->1<->PASS
402:402TC_SAT_1_5:+ 1113<->1<->PASS
403:403TC_DEFRAG_PING_1_1:+ 1114<->1<->PASS
404:404TC_RTS_CTS_1_1:+ 1115<->1<->Pass
405:405TC_RTS_DEFRAG_2_1:+ 1116<->1<->PASS
406:406TC_DIFF_PSK_1_1:+ 1117<->1<->PASS
407:407TC_DIFF_PSK_1_2:+ 1118<->1<->PASS
408:408TC_BATTERY_INOUT_1_1:+ 1119<->1<->PASS
409:409TC_BATTERY_INOUT_1_2:+ 1120<->1<->
410:410TC_SEC_RADIUS_1_1:+ 1121<->1<->NA
411:411TC_PUDAP_1_1:+ 1122<->1<->PASS
412:412TC_PUDAP_1_2:+ 1123<->1<->PASS
413:413TC_PUDAP_1_3:+ 1124<->1<->NA
414:414TC_PUDAP_2_1:+ 1125<->1<->PASS
415:415TC_PUDAP_2_2:+ 1126<->1<->PASS
416:416TC_PUDAP_2_3:+ 1127<->1<->NA
417:417TC_RANGE_1_1:+ 1128<->1<->PASS
418:418TC_WPA_COUNTERMEASURE_1_1:+ 1129<->1<->PASS
419:419TC_WPA_COUNTERMEASURE_2_1:+ 1130<->1<->FAIL
420:420TC_MIB_WI_1_1:+ 1131<->1<->PASS
421:421TC_MIB_WI_1_2:+ 1132<->1<->NA
422:422TC_FWUG_WI_1_1:+ 1133<->1<->PASS
423:423TC_FWUG_WI_1_2:+ 1134<->1<->PASS
424:424TC_FWUG_WI_1_3:+ 1135<->1<->PASS
425:425TC_FWUG_WI_1_4:+ 1136<->1<->PASS
426:426TC_FWUG_WI_2_1:+ 1137<->1<->PASS
427:427TC_FWUG_WI_3_3:+ 1138<->1<->
428:428TC_FWUG_WI_3_4:+ 1139<->1<->PASS
429:429TC_FWUG_WI_3_5:+ 1140<->1<->d
430:430TC_FWUG_WI_3_6:+ 1141<->1<->PASS
431:431TC_FWUG_WI_3_7:+ 1142<->1<->PASS
432:432TC_FWUG_WI_3_8:+ 1143<->1<->PASS
433:433TC_FWUG_WI_3_9:+ 1144<->1<->
434:434TC_FWUG_WI_3_10:+ 1145<->1<->PASS
435:435TC_FWUG_WI_3_11:+ 1146<->1<->FAIL
436:436TC_FWUG_WI_3_12:+ 1147<->1<->NA
437:437TC_FWUG_WI_4_1:+ 1148<->1<->PASS
438:438TC_FWUG_WI_4_2:+ 1149<->1<->PASS
439:439TC_FWUG_WI_4_3:+ 1150<->1<->PASS
440:440TC_FWUG_WI_4_4:+ 1151<->1<->PASS
441:441TC_FWUG_WI_5_1:+ 1152<->1<->
442:442TC_FWUG_WI_6_1:+ 1153<->1<->
443:443TC_FWUG_WI_7_1:+ 1154<->1<->FAIL
444:444TC_FWUG_WI_7_2:+ 1155<->1<->
445:445TC_FWUG_WI_8_1:+ 1156<->1<->PASS
446:446TC_FWUG_WI_9_1:+ 1157<->1<->PASS
